,codigo,professor,disciplina,anoperiodo,qnt_discentes,qnt_aprovados,qnt_reprovacao,qnt_trancamentos,media_turma,media_faltas,qnt_reposicao,taxa_aprovacao,taxa_reprovacao,evasao,qnt_aprovados_primeira
0,57603556,5755773.0,22939,2017.2,1,1.0,0.0,0.0,6.7,0.0,0.0,1.0,0.0,0.0,0
1,57603570,5752251.0,26661,2017.2,1,1.0,0.0,0.0,9.7,4.0,0.0,1.0,0.0,0.0,0
2,57603600,5753637.0,45839,2017.2,25,22.0,3.0,0.0,6.088000000000001,4.0,0.0,0.88,0.12,0.0,0
3,57603600,5752233.0,45839,2017.2,25,22.0,3.0,0.0,6.088000000000001,4.0,0.0,0.88,0.12,0.0,0
4,57603600,5752476.0,45839,2017.2,25,22.0,3.0,0.0,6.088000000000001,4.0,0.0,0.88,0.12,0.0,0
5,57603616,34348.0,26662,2017.2,2,1.0,0.0,1.0,3.7,2.0,0.0,0.5,0.0,0.5,0
6,57603630,18845.0,25025,2017.2,2,1.0,1.0,0.0,4.0,26.0,0.0,0.5,0.5,0.0,0
7,57603632,5755233.0,26687,2017.2,3,3.0,0.0,0.0,8.5,14.666666666666664,2.0,1.0,0.0,0.0,0
8,57603634,17227.0,26687,2017.2,6,5.0,1.0,0.0,7.433333333333334,0.0,0.0,0.8333333333333334,0.16666666666666666,0.0,0
9,57603635,17227.0,26688,2017.2,1,1.0,0.0,0.0,9.2,0.0,0.0,1.0,0.0,0.0,0
10,57603637,5759302.0,26688,2017.2,2,2.0,0.0,0.0,8.25,14.0,0.0,1.0,0.0,0.0,0
11,57603646,17961.0,25009,2017.2,1,1.0,0.0,0.0,8.2,4.0,0.0,1.0,0.0,0.0,0
12,57603647,17961.0,24983,2017.2,1,1.0,0.0,0.0,8.3,10.0,0.0,1.0,0.0,0.0,0
13,57603670,34348.0,25043,2017.2,1,1.0,0.0,0.0,8.2,10.0,0.0,1.0,0.0,0.0,0
14,57603673,5753260.0,59239,2017.2,1,0.0,0.0,1.0,2.8,4.0,0.0,0.0,0.0,1.0,0
15,57603721,5758831.0,59986,2017.2,1,1.0,0.0,0.0,7.2,6.0,0.0,1.0,0.0,0.0,0
16,57603746,2301545.0,40145,2017.2,1,1.0,0.0,0.0,9.2,3.0,0.0,1.0,0.0,0.0,0
17,57603750,5759374.0,40146,2017.2,1,1.0,0.0,0.0,7.9,0.0,0.0,1.0,0.0,0.0,0
18,57603805,17458.0,25319,2017.2,1,1.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0
19,57603833,17227.0,25042,2017.2,3,3.0,0.0,0.0,8.1,0.0,0.0,1.0,0.0,0.0,0
20,57603848,15545.0,24564,2017.2,2,1.0,0.0,1.0,6.15,0.0,0.0,0.5,0.0,0.5,0
21,57603849,15545.0,24564,2017.2,2,2.0,0.0,0.0,6.15,0.0,0.0,1.0,0.0,0.0,0
22,57603851,5759234.0,24546,2017.2,4,4.0,0.0,0.0,7.75,11.0,0.0,1.0,0.0,0.0,0
23,57603851,5756268.0,24546,2017.2,4,4.0,0.0,0.0,7.75,11.0,0.0,1.0,0.0,0.0,0
